serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,sales_ratio,property_type,residential_type,years_until_sold
70711,2007,2/15/2008,Bridgeport,494-496 MERRITT ST.,173050,431000.0,0.401508121,Two Family,Two Family,1
61189,2006,4/9/2007,Waterbury,15-17 EARL ST,77280,239900.0,0.322134223,Two Family,Two Family,1
60577,2006,4/18/2007,Stratford,104 KING ST,268870,410000.0,0.655780488,Three Family,Three Family,1
70326,2007,4/18/2008,Shelton,7-9 DONOVAN LN,239400,375000.0,0.6384,Two Family,Two Family,1
70223,2007,12/19/2007,Meriden,23 RANDOLPH AVE,142060,165000.0,0.860969697,Two Family,Two Family,0
70058,2007,10/30/2007,Hartford,161-163 NEWINGTON AVE,48957,200000.0,0.244785,Two Family,Two Family,0
70330,2007,11/27/2007,Bridgeport,1179 CENTRAL AVE,108150,310000.0,0.348870968,Two Family,Two Family,0
71753,2007,9/23/2008,Bridgeport,161-163 SYLVAN STREET,171510,235000.0,0.729829787,Two Family,Two Family,1
60167,2006,4/3/2007,Watertown,258 BUCKINGHAM ST,144500,290000.0,0.498275862,Three Family,Three Family,1
60497,2006,5/7/2007,Torrington,25 HIGH ST,74900,185700.0,0.403338718,Two Family,Two Family,1
60029,2006,10/26/2006,North Haven,29 JUNIPER DR,298830,427000.0,0.699836066,Two Family,Two Family,0
60293,2006,11/15/2006,Waterbury,153 TUDOR ST,65590,178594.0,0.367257579,Two Family,Two Family,0
70012,2007,10/25/2007,Plymouth,3 CHIDSEY TERR,146990,225000.0,0.653288889,Three Family,Three Family,0
